customer_id,age,gender,city,education,tenure_months,contract_type,payment_method,monthly_charges,total_charges,num_products,has_credit_card,is_active_member,estimated_salary,churned
10000,46.0,Male,Bengaluru,Bachelors,40,Month-to-month,Electronic check,16.9,686.72,3,1,0,55083.68,1
10001,28.0,Female,Chennai,Masters,22,One year,Credit card,88.73,,2,1,0,75325.39,0
10002,52.0,Female,Mumbai,Bachelors,7,Two year,Mailed check,67.45,449.61,1,1,1,57584.71,0
10003,54.0,Male,Delhi,Bachelors,31,One year,Bank transfer,48.61,1615.53,1,1,0,57525.63,0
10004,18.0,Male,Delhi,Bachelors,18,Month-to-month,Bank transfer,90.82,1612.81,1,1,0,103508.09,0
10005,25.0,Male,Hyderabad,Masters,40,Month-to-month,Bank transfer,46.05,1826.76,1,1,0,39000.1,0
10006,44.0,Male,Hyderabad,High School,58,One year,Bank transfer,55.67,3195.65,3,0,0,80678.06,0
10007,38.0,Male,Chennai,High School,40,Two year,Mailed check,76.55,3064.05,2,1,0,108089.14,0
10008,42.0,Female,Bengaluru,Bachelors,42,One year,Mailed check,40.5,1695.93,2,1,0,85081.48,0
10009,31.0,Male,Mumbai,High School,3,Month-to-month,Electronic check,62.59,131.81,2,1,1,40715.87,1
10010,53.0,Male,Delhi,High School,47,One year,Electronic check,88.96,4159.9,3,1,0,41805.23,0
10011,,Female,Delhi,High School,32,Month-to-month,Mailed check,69.64,2258.96,3,1,0,53464.24,0
10012,43.0,Female,Hyderabad,High School,9,Month-to-month,Mailed check,92.44,883.31,1,1,1,73473.97,0
10013,57.0,Male,Pune,High School,15,Two year,Electronic check,89.94,1350.3,1,1,1,74970.74,1
10014,,Female,Delhi,Bachelors,56,Two year,Credit card,65.17,3652.47,1,1,1,42022.68,0
10015,31.0,Female,Bengaluru,PhD,66,Month-to-month,Electronic check,13.59,878.89,1,1,1,50799.34,0
10016,47.0,Female,Mumbai,Masters,37,One year,Electronic check,40.67,1479.67,1,1,0,52147.39,0
10017,30.0,Male,Bengaluru,High School,71,Month-to-month,Bank transfer,81.79,5761.11,1,1,0,66023.57,0
10018,53.0,Female,Hyderabad,High School,13,Month-to-month,Credit card,30.89,323.74,2,0,1,113663.3,1
10019,41.0,Female,Hyderabad,PhD,21,Two year,Mailed check,57.81,1178.89,1,1,1,49469.88,0
10020,40.0,Female,Pune,Bachelors,67,Two year,Bank transfer,72.45,4899.35,2,1,1,48506.93,0
10021,33.0,Female,Pune,Bachelors,12,Month-to-month,Electronic check,97.33,1146.74,1,1,1,45070.91,1
10022,58.0,Male,Bengaluru,Bachelors,48,One year,Credit card,52.35,2495.5,1,0,1,83981.98,0
10023,40.0,Female,Chennai,High School,16,Month-to-month,Bank transfer,50.84,795.17,2,0,0,69090.48,0
10024,36.0,Female,Hyderabad,High School,24,Month-to-month,Electronic check,63.85,1594.64,1,0,0,50283.02,0
10025,37.0,Female,Bengaluru,Bachelors,34,Two year,Bank transfer,72.72,2426.06,2,0,1,62018.5,0
10026,49.0,Male,Mumbai,Bachelors,26,One year,Electronic check,61.61,1615.71,3,1,0,52586.77,0
10027,47.0,Female,Pune,PhD,63,One year,Mailed check,88.08,5545.62,1,1,0,76509.61,0
10028,47.0,Male,Pune,High School,71,Month-to-month,Mailed check,47.42,3370.22,1,1,1,129056.29,0
10029,48.0,Female,Bengaluru,High School,36,One year,Bank transfer,67.64,2447.26,1,1,0,82119.02,0
10030,,Female,Delhi,Masters,38,Two year,Credit card,74.79,2844.88,1,1,1,67954.25,0
10031,37.0,Female,Mumbai,Masters,4,Month-to-month,Mailed check,56.19,264.41,3,1,0,55370.54,0
10032,35.0,Female,Mumbai,High School,17,Month-to-month,Bank transfer,83.47,1417.53,2,1,1,40445.2,0
10033,31.0,Female,Chennai,,2,Month-to-month,Bank transfer,68.28,223.78,1,1,0,86141.17,0
10034,,Male,Delhi,Bachelors,62,Month-to-month,Electronic check,82.35,5107.92,2,1,0,84945.79,0
10035,57.0,Male,Bengaluru,High School,16,Month-to-month,Bank transfer,69.27,1023.15,3,1,1,59745.78,0
10036,41.0,Female,Delhi,Masters,24,One year,Credit card,73.28,1790.64,1,0,1,96693.35,0
10037,31.0,Male,Bengaluru,High School,61,Month-to-month,Bank transfer,51.09,3136.09,1,1,0,70464.35,0
10038,31.0,Female,Hyderabad,High School,52,Two year,Mailed check,51.12,2659.87,2,1,0,87044.74,0
10039,50.0,Female,Chennai,Bachelors,45,Month-to-month,Bank transfer,91.94,4124.32,2,1,0,,0
10040,52.0,Female,Bengaluru,Bachelors,2,Two year,Credit card,78.98,52.23,1,1,0,66103.01,0
10041,49.0,Female,Delhi,PhD,41,Two year,Electronic check,42.49,1644.75,1,1,1,48992.54,0
10042,33.0,Male,Mumbai,Bachelors,40,Month-to-month,Electronic check,68.98,2841.58,1,1,1,412878.27,0
10043,,Female,Chennai,High School,23,Month-to-month,Bank transfer,12.78,264.66,2,0,1,88525.11,0
10044,44.0,Female,Chennai,Bachelors,54,Two year,Electronic check,52.37,2876.26,2,0,0,58821.03,0
10045,45.0,Female,Delhi,High School,67,Month-to-month,Credit card,86.14,5691.23,1,1,1,79674.31,0
10046,53.0,Male,Mumbai,High School,18,Month-to-month,Electronic check,62.25,1068.16,2,1,1,46179.81,1
10047,,Male,Hyderabad,High School,24,Month-to-month,Electronic check,67.59,1656.09,1,1,0,87161.28,0
10048,51.0,Female,Hyderabad,High School,23,Month-to-month,Credit card,10.0,224.87,2,0,0,76884.71,1
10049,,Male,Hyderabad,Bachelors,60,One year,Electronic check,56.37,3409.08,2,0,1,43553.56,0
10050,46.0,Female,Mumbai,Masters,5,One year,Mailed check,72.44,361.52,1,0,1,65071.68,0
10051,50.0,Male,Pune,High School,65,Two year,Mailed check,75.24,4880.22,1,1,0,90491.7,0
10052,23.0,Female,Bengaluru,Bachelors,56,One year,Credit card,86.17,4791.52,1,1,1,42301.28,0
10053,38.0,Female,Bengaluru,High School,35,Month-to-month,Electronic check,60.37,2053.25,2,0,1,46439.09,0
10054,36.0,Female,Mumbai,Bachelors,42,One year,Bank transfer,61.36,2647.26,2,1,1,68471.07,0
10055,34.0,Female,Mumbai,Bachelors,65,Month-to-month,Credit card,35.69,2398.22,1,1,1,116933.28,0
10056,38.0,Female,Mumbai,High School,56,Month-to-month,Bank transfer,60.5,3336.06,3,1,0,55203.28,0
10057,61.0,Female,Delhi,Masters,20,Month-to-month,Electronic check,37.25,689.8,2,0,0,80896.03,1
10058,31.0,Female,Pune,Bachelors,3,Month-to-month,Electronic check,24.35,55.66,1,1,1,75722.98,0
10059,55.0,Male,Hyderabad,PhD,48,Month-to-month,Mailed check,41.13,1991.26,1,1,1,57030.56,0
10060,20.0,Female,Pune,PhD,10,Month-to-month,Electronic check,98.19,972.81,1,0,0,73544.93,1
10061,38.0,Female,Hyderabad,High School,6,Month-to-month,Mailed check,59.05,379.28,1,0,1,60147.64,0
10062,44.0,Male,Mumbai,Masters,71,Two year,Bank transfer,69.84,4956.18,3,1,1,62128.29,0
10063,50.0,Male,Hyderabad,Bachelors,34,Month-to-month,Bank transfer,53.7,1820.07,2,1,0,33452.02,0
10064,51.0,Male,Bengaluru,Bachelors,47,Two year,Bank transfer,25.61,1324.32,1,1,0,69462.4,0
10065,52.0,Female,Chennai,Masters,15,Two year,Bank transfer,85.59,1257.59,1,1,0,89780.06,0
10066,37.0,Female,Bengaluru,Bachelors,7,Two year,Electronic check,17.21,202.47,1,0,0,,0
10067,36.0,Male,Mumbai,Bachelors,4,Month-to-month,Mailed check,52.79,283.5,1,1,1,93991.17,0
10068,53.0,Male,Hyderabad,Bachelors,25,Month-to-month,Credit card,63.8,1620.2,1,1,0,82767.2,0
10069,40.0,Female,Hyderabad,Masters,0,Month-to-month,Bank transfer,70.07,,2,1,1,68690.09,0
10070,25.0,Male,Bengaluru,Masters,30,Month-to-month,Electronic check,49.02,1472.15,2,0,0,56185.64,0
10071,27.0,Female,Mumbai,High School,23,Month-to-month,Electronic check,24.56,539.15,3,1,1,59302.2,0
10072,30.0,Male,Delhi,Bachelors,38,Month-to-month,Bank transfer,47.38,1801.44,1,1,0,37648.77,0
10073,48.0,Female,Chennai,High School,43,One year,Mailed check,48.53,2033.64,1,0,1,64124.26,0
10074,44.0,Male,Delhi,Masters,22,One year,Mailed check,47.99,1093.59,2,1,0,73211.97,1
10075,,Male,Hyderabad,High School,33,Month-to-month,Electronic check,86.34,2898.47,1,1,1,,0
10076,36.0,Female,Delhi,High School,5,Month-to-month,Mailed check,38.3,250.0,1,1,0,81623.05,0
10077,44.0,Male,Delhi,Bachelors,22,One year,Electronic check,71.62,1556.53,4,0,1,50973.21,0
10078,50.0,Female,Delhi,Bachelors,71,One year,Electronic check,68.48,4809.11,2,0,0,38333.9,0
10079,38.0,Female,Mumbai,Bachelors,72,One year,Mailed check,86.13,6218.94,3,1,0,65455.85,0
10080,48.0,Female,Delhi,Bachelors,35,Two year,Credit card,62.07,2260.25,1,1,1,87858.82,0
10081,33.0,Male,Hyderabad,Masters,68,One year,Credit card,82.4,5606.67,2,0,0,65146.44,0
10082,37.0,Male,Delhi,High School,36,Month-to-month,Electronic check,61.21,2226.17,1,0,1,81923.65,0
10083,37.0,Male,Delhi,Bachelors,9,Month-to-month,Electronic check,74.56,659.29,1,1,1,,0
10084,26.0,Female,Hyderabad,Bachelors,63,Month-to-month,Electronic check,31.94,1987.05,1,1,0,85774.01,0
10085,48.0,Male,Bengaluru,Bachelors,30,Month-to-month,Credit card,10.0,332.91,2,0,1,34860.32,0
10086,36.0,Female,Delhi,Bachelors,44,Two year,Electronic check,73.31,3220.34,1,1,0,105292.01,0
10087,42.0,Female,Chennai,Bachelors,47,One year,Credit card,74.49,3521.21,2,1,1,45525.36,0
10088,48.0,Male,Delhi,Bachelors,22,One year,Bank transfer,75.46,1685.5,3,0,0,87462.11,0
10089,48.0,Male,Bengaluru,High School,53,Month-to-month,Credit card,53.45,2850.23,2,0,1,64011.95,0
10090,51.0,Female,Mumbai,Bachelors,36,One year,Electronic check,97.77,,1,1,1,,0
10091,41.0,Female,Delhi,Bachelors,26,Month-to-month,Bank transfer,54.88,1384.23,2,1,0,64695.76,0
10092,36.0,Male,Mumbai,Bachelors,21,Month-to-month,Electronic check,74.26,1513.76,1,1,1,75623.3,0
10093,41.0,Female,Chennai,Masters,54,One year,Bank transfer,78.08,4214.19,1,1,0,80065.54,0
10094,20.0,Male,Mumbai,PhD,18,Month-to-month,Bank transfer,102.81,,1,1,1,93283.95,0
10095,,Female,Hyderabad,Bachelors,9,Month-to-month,Credit card,58.03,496.15,2,1,0,100974.88,1
